"outcome","outcome_label","feature_name","coefficient_direction","final_standardized_coef","sign_agreement_count","stability_class","outcome_evidence","r1_enrichment_preserved","auroc_global_ordering_flag","design_hypothesis_grade","grade_label","main_figure_display","main_figure_rank","narrative_highlight_eligible","core_practical_applications_eligible","feature_level_locked_validation","causal_recommendation"
"general_visual_appeal_observed_positive_core","General visual appeal","luminance_mean","negative","-0.25258885605444514","4","mostly_stable","E2","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","luminance_p10","negative","-0.6529424166010287","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","4","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","luminance_p90","positive","0.54410317442028","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","7","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","luminance_std","negative","-0.39509314674931373","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","near_black_fraction","positive","0.0003278996470604531","2","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","near_white_fraction","negative","-0.3655753005277297","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","pale_pastel_palette_score","negative","-0.29643160221455517","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","quadrant_edge_imbalance","negative","-0.07139197363842859","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","ribbon_bow_box_cues_score","negative","-0.06717623386376378","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","saturation_mean","negative","-0.23640386979049","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","saturation_std","negative","-0.28754650041220253","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","sparse_layout_score","negative","-1.2062724753539622","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","True","1","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","tb_symmetry","positive","0.39054489470356374","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","transparent_window_score","positive","0.137549405185252","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","typography_dominant_score","negative","-0.11276592128834743","3","unstable","E2","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","vivid_multicolor_palette_score","positive","0.3362938613598369","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"general_visual_appeal_observed_positive_core","General visual appeal","warm_hue_fraction","positive","0.30770195002257034","5","directionally_stable","E2","True","below_half","A","qualified_design_hypothesis","False","","True","True","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","center_edge_energy_fraction","negative","-0.2520001627390008","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","character_mascot_score","positive","0.31893612169036706","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","colorfulness_hs","positive","0.13482624073014687","3","unstable","E1","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","cool_hue_fraction","positive","0.11799435713253732","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","dense_ornament_score","positive","1.3628411230908242","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","1","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","edge_density","negative","-0.8412784945356365","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","4","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","edge_strength_mean","positive","0.7706996589956482","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","5","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","floral_illustration_score","negative","-0.16026127076989216","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","fruit_motif_score","positive","0.15556143878418577","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","geometric_layout_score","positive","0.26515314683650193","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","grayscale_entropy","negative","-0.1400241037038346","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","heritage_ornament_score","negative","-0.5015403730815253","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","8","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","high_saturation_fraction","positive","0.1476012615225728","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","hue_entropy","positive","0.13704069928870416","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","image_dominant_score","negative","-0.19344502544475037","3","unstable","E1","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","ingredient_photography_score","positive","0.05610454643148527","3","unstable","E1","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","kraft_craft_score","positive","0.1179970645150313","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","leaf_herb_illustration_score","negative","-0.8705877653862636","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","3","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","lr_symmetry","positive","0.031596267758571626","2","unstable","E1","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","luminance_mean","positive","0.27325903725420003","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","luminance_p10","negative","-0.6426964794413174","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","6","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","luminance_p90","positive","0.26214787619223673","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","luminance_std","negative","-0.3657113390315656","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","near_black_fraction","positive","0.16631985864738352","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","near_white_fraction","positive","0.19032733798144366","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","pale_pastel_palette_score","positive","0.36796485023199543","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","quadrant_edge_imbalance","negative","-0.0592791865748101","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","ribbon_bow_box_cues_score","negative","-0.08448028716725806","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","saturation_mean","negative","-0.013435058148629603","2","unstable","E1","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","saturation_std","negative","-0.3834383631069211","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","sparse_layout_score","negative","-1.0226443213471852","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","2","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","tb_symmetry","positive","0.1544477916114264","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","transparent_window_score","positive","0.5043114025006747","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","True","7","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","typography_dominant_score","negative","-0.264197258957443","5","directionally_stable","E1","True","below_half","B","exploratory_design_hypothesis","False","","True","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","vivid_multicolor_palette_score","positive","0.07076582141815445","3","unstable","E1","True","below_half","D","do_not_highlight","False","","False","False","False","False"
"cute_friendly_observed_positive_core","Cute/friendly","warm_hue_fraction","positive","0.06165905541361329","4","mostly_stable","E1","True","below_half","C","development_stage_association_only","False","","False","False","False","False"
